"review","users_marked_review_as_funny"
"So now i've had lunch as well as dinner at Bricks and it's still one of my favorite resteraunts in town! They are open for lunch i believe wed-friday. Its a good alternate to their higher price dinner menu with food that is just as excellent. For an appetizer we had mushroom caps filled with escargot and blue cheese. Very rich but very tasty. For entrees i had a grilled portabello veggie sandwich, my boyfriend had a shrimp and avocado salad and my mom had an appetizer of grilled scallops and calamari steaks. Everyone's was awesome and they were very decent portions. 2 NA drinks, an appetizer and 3 lunches was $60- very reasonable i thought considering the quality of food and service. Thanks for taking care of us Mike!",347
"I would give Brick's 4 1/2 stars if I could.  5 Stars is darn near perfection, so I have to be picky who I give that to.  Bricks came close.  We went last Thursday for my birthday, although we did not mention this.  I wanted to get a very objective idea of their service without ""tainting"" it by telling them it was my birthday.We had booked a table, and were greeted at the door by name (how did they know us?) when we walked in. That was nice.  We were shown to a beautiful booth.  The restaurant is gorgeous.  The decor is beautifully styled, modern, and soothing sort of soft metallic grays and golds.  Very pleasing to the eye.  Our waiter came quickly, and took our drink orders.  I had pelligrino and my husband had a beer, and I wonder if our not ordering wine affected the level of service we got.  The waiter, Steve, took quite a while to come back and take our food order.  We saw him acting very pleasant and chatty with several other tables as he refilled their wine glasses.  Don't get me wrong.  Our service was good, but Steve was more attentive to other tables at which he was pouring wine.  Interesting.  We ordered the mushroom caps appetizer with escargot and bleu cheese, and it was fantastic.  We had a wedge salad, which was not a wedge of iceberg lettuce, but it was layered leaves of Romaine.  It was done really nicely, though.  Bleu cheese dressing was painted on each leaf, and then stacked, and then bacon and crumbled bleu cheese were scattered over the top  - yummy.  I had the sea bass, and my husband had the seafood fettuccini.  His pasta had tons of seafood in it - loads of shrimp and other goodies.  My sea bass had crushed macadamia nuts on the top, and it was absolutely delicious.  We were very full, and decided not to have dessert.  I stopped at the restroom afterwards, to check it out, and was pleased to see a stunningly decorated, very modern and spotless restroom - nice.  We loved our meal, and will definitely go back.  They would have gotten 5 stars from me, but I felt we were taken down a notch by Steve because we did not order wine.  We still managed to spend over $100, and he could have talked us into dessert if he had tried, but , alas, he did not!",346
"Went here for my boyfriends birthday at 6pm and there was no one there. Eventually more groups came but at first it felt a little awkward being the only ones in the restaurant. But our waiter was very nice, he helped us choose a nice glass of wine to go with our dinners so that was great. My boyfriend had the special of  Elk chops which were sooo yummy and I had the risotto with scallops, which were also very delicious. Would definitely go here again!",345
"What a great dining experience.  They are open for lunch on selected days and luckily today was one of them.  Started with the manhattan style lobster chowder and so different from other places it was literally swimming with lobster including whole claw meat as opposed to the salty lobster whisperer and not one mushy potato to be found.  Awesome! The wedge was chunks of blue cheese and large pieces of bacon on really crisp lettuce as opposed to the bacon bit whisperer which also sucks. Awesome twice! The ahi salad had so much flavor we are thinking why don't we come here more often, well duh we live in Tahoe.  Seriuosly service was awesome, thank you Mike, and it was a fabulous meal from start to finish.",344
"Classiest place in Reno. I ate at the bar with family, what a bar! Loved the ambiance, polite and knowledgeable staff. My brother is a NYC man, likes the finer things and he approved of this place - it was up to his standards, it was the wow factor for Reno.The appetizers  we ornate, beautifully displayed and did I mention delicious? I will defiantly go back for lunch or dinner. It is a place to bring family, classy friends, and a date if you do that thing.",342
"Nice atmosphere, friendly service and great food. Ordered the filet and the Cabernet sauce, it was delicious. They have a great wine selection from wineries all over, nothing to commercial.",341
"Great fine dining restaurant with exceptional specials, wine selection, and service.  You must try this place!",336
"Upscale fine dining establishment with the best steaks I have found in Reno yet.  The fish is also extraordinarily good, and I *like* what they do to lamb.  Excellent onion soup and good salads too.  

This is our go-to place when we have a jones for a fine steak dinner.",333
"I only ate here once. Had the king salmon and it was excellent!! The other person I was with had the lamb. The lamb was so-so. Not bad but not awesome either.

The service was excellent. Prompt, knowledgeable and attentive. 

Ambiance was more formal than I am used to. But it was not pretentious either.

So after having one meal and sampling another I say 4 stars. I would definitely return here when visiting Reno.",332
"Overpriced and underwhelming food in a very nice atmosphere.  

My boyfriend and I went in to Lulou's for dinner on a weeknight at around 6:30.  The person at the door (who I have since learned is the owner) was not very warm or welcoming, but meh not a really big deal. Other than that, my first impression was ""Wow, what is a place like this doing in Reno?""  It is a very upscale and modern type of decor that you would expect to see in a big city.  We sat down and ordered the lobster which was served escargot-style as an appetizer.  Very good, but not anything very special... I could cut up chunks of lobster, and put them in the dish with butter and bake it.  We each got the butternut squash soup which was pretty good but again, overpriced.  I think they justified the $12 soup by putting a tablespoon of bluefish in the center of the bowl.  My boyfriend decided to order the venison, and asked our waitress to suggest a nice strong red wine to pair with the venison.  She ended up suggesting a pinot noir which was very fruit forward and awful with the venison.  In a place where you are paying about $80 per person, you would hope for a little more wine knowledge.... or at least a waitress who would ask the bartender if she wasn't sure.  The venison was spectacular tasting... tasted more like a filet than venison.  I had the seared ahi which had an avocado/wasabi puree on top.  The ahi was amazing, but again not too innovative and pretty expensive.  What really disappointed me about my entree was the fried rice which was served as a side.  It tasted like instant white rice with chunks of crab meat in it and had a fried egg on top, very bland and very disappointing.  There was also a skewer of grilled shiitake mushrooms and some greens that were both pretty good.  I ordered my own wine, had a glass of fume blanc that was good but overpriced.   Dessert was amazing!  There were about four things on the menu that I wanted to order, but we ended up splitting the brownie sundae.  It was a decadent layered creation of salted carmel ice cream, rich brownies, and toasted marshmallow.  My only complaint is that it came inside a fishbowl looking sphere that was beautiful but made it a little difficult to eat.  

I think if I ever decide to go again it will be to have a cocktail and an appetizer or dessert in their beautiful lounge.",326
